2025-10-21T07:52:28.726944Z  WARN sugarloaf\src\font\loader\mod.rs:166: Failed to load a font face 0 from 'C:\Windows\Fonts\mstmc.ttf' cause malformed font.
2025-10-21T07:52:28.739980Z  WARN sugarloaf\src\font\loader\mod.rs:166: Failed to load a font face 0 from 'C:\WINDOWS\Fonts\mstmc.ttf' cause malformed font.
2025-10-21T07:52:29.082404Z  WARN rio-backend\src\performer\handler.rs:1144: [csi_dispatch] params=[1], intermediates=[], should_ignore=false, action='t'
2025-10-21T07:52:31.028042Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g'],] at line 745
2025-10-21T07:53:28.975868Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g''\\''G''i''t''h''u''b''\\''a''r''c''h''-''a''l''m''a''g''e''s''t''\\''t''e''r''m''i''n''a''l''s'],] at line 745
2025-10-21T07:53:29.706459Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g''\\''G''i''t''h''u''b''\\''a''r''c''h''-''a''l''m''a''g''e''s''t''\\''t''e''r''m''i''n''a''l''s'],] at line 745
2025-10-21T07:53:31.041100Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g''\\''G''i''t''h''u''b''\\''a''r''c''h''-''a''l''m''a''g''e''s''t''\\''t''e''r''m''i''n''a''l''s''\\''r''i''o'],] at line 745
2025-10-21T07:53:31.527017Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g''\\''G''i''t''h''u''b''\\''a''r''c''h''-''a''l''m''a''g''e''s''t''\\''t''e''r''m''i''n''a''l''s''\\''r''i''o'],] at line 745
2025-10-21T07:53:46.986489Z  WARN rio-backend\src\performer\handler.rs:1144: [csi_dispatch] params=[1], intermediates=[], should_ignore=false, action='t'
2025-10-21T07:53:48.794479Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g'],] at line 745
2025-10-21T07:53:58.541337Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g''\\''G''i''t''h''u''b''\\''a''r''c''h''-''a''l''m''a''g''e''s''t''\\''s''h''e''l''l''\\''n''u''s''h''e''l''l''_''w''i''n''d''o''w''s'],] at line 745
2025-10-21T07:54:29.117238Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g''\\''G''i''t''h''u''b''\\''a''r''c''h''-''a''l''m''a''g''e''s''t''\\''s''h''e''l''l''\\''n''u''s''h''e''l''l''_''w''i''n''d''o''w''s'],] at line 745
2025-10-21T07:54:33.786732Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g''\\''G''i''t''h''u''b''\\''a''r''c''h''-''a''l''m''a''g''e''s''t''\\''s''h''e''l''l''\\''n''u''s''h''e''l''l''_''w''i''n''d''o''w''s'],] at line 745
2025-10-21T07:54:42.640655Z  WARN rio-backend\src\performer\handler.rs:1168: [csi_dispatch] params=[0], intermediates=[62], should_ignore=false, action='q'
2025-10-21T07:54:42.783332Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['A'],['c''l''i''c''k''_''e''v''e''n''t''s''=''1'],] at line 745
